simulation_1_yearsatAB 
 Date_from_1Jan     Obs.    1-year_sim.(without init)      Mean_yearly_Obs   Sim. With initial.
   223.000000         56.400002       10.248338           57.799999         7.708541
   224.000000         56.980000       11.203786           55.799999         8.019718
   225.000000         58.380001       9.175667           52.500000         7.343406
   226.000000         56.520000       9.608109           51.200001         7.431649
   227.000000         55.500000       9.187310           50.400002         6.615365
   228.000000         54.169998       8.781250           49.900002         6.924111
   229.000000         54.459999       8.388783           50.000000         6.053249
   230.000000         52.889999       8.015518           49.599998         6.293212
   231.000000         51.279999       7.656915           48.900002         5.544641
   232.000000         48.220001       7.316290           47.900002         5.710701
   233.000000         45.369999       6.674965           47.200001         5.080148
   234.000000         44.250000       6.993493           46.700001         5.181793
   235.000000         41.830002       6.108156           48.099998         4.653769
   236.000000         38.849998       6.368301           47.099998         4.699896
   237.000000         40.930000       5.614743           45.099998         4.155350
   238.000000         42.630001       5.782988           44.599998         4.286574
   239.000000         41.200001       5.142012           44.099998         3.915882
   240.000000         39.549999       5.255341           42.700001         3.721027
   241.000000         40.060001       4.727810           41.700001         3.804693
   242.000000         46.240002       4.780661           42.700001         3.411803
   243.000000         47.840000       4.230536           44.599998         3.259923
   244.000000         43.520000       4.369210           43.700001         3.156318
   245.000000         41.130001       3.993655           42.299999         3.159916
   246.000000         40.240002       3.800774           41.500000         2.854231
   247.000000         39.810001       3.887175           40.900002         2.738018
   248.000000         42.509998       3.491405           39.299999         2.623574
   249.000000         45.860001       3.589555           38.500000         2.720062
   250.000000         54.520000       4.857781           38.099998         4.008811
   251.000000         49.889999       6.829992           36.400002         5.971749
   252.000000         51.490002       10.955028           35.900002         10.140315
   253.000000         43.520000       14.336172           34.900002         13.536183
   254.000000         40.160000       16.616985           34.099998         15.846045
   255.000000         38.939999       17.767443           34.000000         17.043535
   256.000000         39.209999       19.551012           34.299999         19.426945
   257.000000         39.290001       16.094322           34.000000         14.929456
   258.000000         40.360001       17.035065           33.299999         16.454374
   259.000000         39.880001       16.342518           33.099998         15.790934
   260.000000         41.660000       15.640622           33.099998         15.111362
   261.000000         39.740002       15.244906           32.200001         14.867270
   262.000000         36.439999       15.876257           31.299999         15.364708
   263.000000         32.950001       15.144358           31.500000         14.684562
   264.000000         30.860001       14.593613           30.900000         14.023955
   265.000000         30.389999       13.983110           30.100000         13.536170
   266.000000         29.920000       13.282173           30.000000         12.873699
   267.000000         29.270000       12.609906           30.000000         12.222703
   268.000000         28.230000       11.989033           29.400000         11.618853
   269.000000         27.070000       11.403687           29.000000         11.046898
   270.000000         25.850000       10.867429           29.500000         10.522267
   271.000000         24.490000       10.368022           29.600000         10.034224
   272.000000         25.559999       9.966325           32.799999         9.645123
   273.000000         25.900000       9.354403           33.000000         9.148382
   274.000000         24.770000       10.206044           31.799999         9.829708
   275.000000         23.660000       9.652106           30.700001         9.221601
   276.000000         22.740000       9.692516           30.200001         9.500016
   277.000000         21.920000       9.021780           28.900000         8.857426
   278.000000         21.240000       9.560249           27.799999         9.234954
   279.000000         20.870001       8.564023           26.900000         8.357114
   280.000000         21.030001       9.179705           26.500000         8.917806
   281.000000         21.100000       8.323952           26.100000         8.105190
   282.000000         20.670000       8.741485           25.299999         8.374315
   283.000000         20.219999       8.140090           24.400000         8.022220
   284.000000         19.750000       8.024265           24.100000         7.920092
   285.000000         19.330000       8.066204           23.400000         7.411230
   286.000000         18.770000       7.654611           22.799999         7.879519
   287.000000         18.150000       7.016670           22.400000         7.194121
   288.000000         17.660000       7.372774           22.000000         6.578969
   289.000000         18.200001       6.449831           22.400000         6.883438
   290.000000         17.900000       6.751954           22.799999         6.056002
   291.000000         17.299999       6.060850           23.799999         6.260145
   292.000000         17.040001       6.178452           23.500000         5.876875
   293.000000         16.820000       5.879387           22.900000         5.886000
   294.000000         16.540001       5.599733           23.600000         5.533186
   295.000000         16.389999       5.898208           25.799999         5.643899
   296.000000         16.309999       5.461537           25.500000         5.296170
   297.000000         16.660000       5.464948           24.700001         5.369653
   298.000000         16.790001       5.132529           23.600000         5.055717
   299.000000         16.150000       5.225831           22.500000         5.104694
   300.000000         16.530001       4.850938           21.600000         4.770093
   301.000000         16.100000       4.914813           20.799999         4.802601
   302.000000         14.410000       4.543493           20.200001         4.448149
   303.000000         14.770000       4.563955           19.400000         4.475557
   304.000000         15.550000       4.206184           18.400000         4.115851
   305.000000         15.540000       4.198004           18.400000         4.121610
   306.000000         15.530000       3.861578           18.299999         3.774849
   307.000000         15.820000       3.672341           18.100000         3.612844
   308.000000         15.010000       3.764410           17.600000         3.678073
   309.000000         12.740000       3.382763           16.900000         3.326029
   310.000000         13.390000       3.227997           16.799999         3.154551
   311.000000         13.210000       3.131944           16.900000         3.067137
   312.000000         14.240000       3.142800           17.200001         3.071493
   313.000000         14.290000       2.834281           16.799999         2.784036
   314.000000         14.330000       2.717149           16.900000         2.654800
   315.000000         12.370000       2.605617           16.400000         2.555357
   316.000000         11.330000       2.509731           15.800000         2.414770
   317.000000         13.440000       2.367849           15.500000         2.368078
   318.000000         14.920000       2.315351           15.700000         2.279414
   319.000000         14.340000       2.226018           15.600000         2.130050
   320.000000         14.270000       2.082458           15.600000         2.041969
   321.000000         12.820000       1.998989           15.300000         2.002384
   322.000000         13.460000       1.954454           14.800000         1.911956
   323.000000         12.190000       1.866807           13.900000         1.788260
   324.000000         10.220000       1.749584           13.100000         1.710688
   325.000000         9.100000       1.673686           12.500000         1.642413
   326.000000         10.990000       1.605822           12.400000         1.576516
   327.000000         11.670000       1.541083           12.300000         1.510659
   328.000000         12.300000       1.477074           12.500000         1.446083
   329.000000         13.080000       1.414311           12.200000         1.383682
   330.000000         13.670000       1.353533           12.400000         1.323526
   331.000000         12.940000       1.294852           12.200000         1.265374
   332.000000         12.380000       1.238075           12.100000         1.203120
   333.000000         12.760000       1.177225           12.200000         1.149188
   334.000000         13.390000       1.124535           12.300000         1.105687
   335.000000         13.450000       1.082194           12.200000         1.058459
   336.000000         13.430000       1.036194           12.100000         1.013025
   337.000000         12.300000       0.991891           12.300000         0.969961
   338.000000         10.260000       0.949887           11.900000         0.928282
   339.000000         8.490000       0.909207           11.500000         0.887993
   340.000000         8.520000       0.869907           11.600000         0.849013
   341.000000         9.980000       0.831926           11.700000         0.811789
   342.000000         11.220000       0.795725           11.700000         0.777138
   343.000000         11.630000       0.761773           11.700000         0.744685
   344.000000         11.940000       0.729712           11.800000         0.712963
   345.000000         10.970000       0.698606           11.800000         0.682406
   346.000000         10.030000       0.668867           11.800000         0.653293
   347.000000         14.130000       0.640547           11.800000         0.625531
   348.000000         15.040000       0.613563           11.600000         0.598912
   349.000000         15.200000       0.587606           11.500000         0.570956
   350.000000         14.940000       0.560227           11.500000         0.546307
   351.000000         14.080000       0.536054           11.200000         0.527414
   352.000000         13.950000       0.517560           11.400000         0.504255
   353.000000         12.050000       0.494959           11.000000         0.478927
   354.000000         11.580000       0.470151           10.800000         0.460326
   355.000000         12.620000       0.451865           10.800000         0.445107
   356.000000         12.210000       0.436991           10.600000         0.425510
   357.000000         12.280000       0.417888           10.500000         0.404135
   358.000000         13.460000       0.396987           10.400000         0.386019
   359.000000         12.780000       0.379227           10.500000         0.370495
   360.000000         12.970000       0.363988           10.600000         0.355928
   361.000000         12.870000       0.349704           10.500000         0.341632
   362.000000         12.400000       0.335708           10.100000         0.327601
   363.000000         11.990000       0.321976           9.900000         0.313991
   364.000000         12.030000       0.308646           10.000000         0.300884
   365.000000         11.770000       0.295800           9.900000         0.288296
